"","CN","PLT_CN","PREV_TRE_CN","INVYR","CYCLE","STATECD","UNITCD","COUNTYCD","PLOT","SUCP","cycle_aw","SUBP","TREE","CONDID","PREVCOND","STATUSCD","SPCD","SPGRPCD","DIA","DIACALC","DIAHTCD","HT","HTCD","AGENTCD","BHAGE","CCLCD","DECAYCD"
"137",51623073020004,39635087010690,NA,2005,"3",35,1,6,81379,"35_1_6_81379","2",4,4,1,NA,2,"202",10,NA,6.8,1,NA,NA,60,NA,NA,NA
"138",51623074020004,39635087010690,NA,2005,"3",35,1,6,81379,"35_1_6_81379","2",4,5,1,NA,1,"746",44,9.2,9.2,1,50,1,NA,47,3,NA
"139",51623075020004,39635087010690,NA,2005,"3",35,1,6,81379,"35_1_6_81379","2",4,7,1,NA,1,"746",44,8.4,8.4,1,48,1,NA,NA,3,NA
"140",51623076020004,39635087010690,NA,2005,"3",35,1,6,81379,"35_1_6_81379","2",4,8,1,NA,1,"746",44,6.7,6.7,1,36,1,NA,NA,3,NA
"141",51623077020004,39635087010690,NA,2005,"3",35,1,6,81379,"35_1_6_81379","2",4,9,1,NA,1,"746",44,7,7,1,38,1,NA,NA,3,NA
"142",51623078020004,39635087010690,NA,2005,"3",35,1,6,81379,"35_1_6_81379","2",4,10,1,NA,1,"746",44,8.7,8.7,1,45,1,NA,NA,3,NA
"143",51623079020004,39635087010690,NA,2005,"3",35,1,6,81379,"35_1_6_81379","2",4,11,1,NA,1,"746",44,8.2,8.2,1,45,1,NA,NA,3,NA
"144",51623080020004,39635087010690,NA,2005,"3",35,1,6,81379,"35_1_6_81379","2",4,12,1,NA,1,"746",44,7.7,7.7,1,43,1,NA,NA,3,NA
"145",51623081020004,39635087010690,NA,2005,"3",35,1,6,81379,"35_1_6_81379","2",4,13,1,NA,2,"746",44,6.6,6.6,1,43,1,NA,NA,NA,2
"146",51623082020004,39635087010690,NA,2005,"3",35,1,6,81379,"35_1_6_81379","2",4,14,1,NA,2,"746",44,6.8,6.8,1,42,1,NA,NA,NA,2
"147",51623083020004,39635087010690,NA,2005,"3",35,1,6,81379,"35_1_6_81379","2",4,15,1,NA,2,"746",44,6.8,6.8,1,43,1,60,NA,NA,1
"148",51623084020004,39635087010690,NA,2005,"3",35,1,6,81379,"35_1_6_81379","2",4,16,1,NA,1,"202",10,7.1,7.1,1,27,1,NA,NA,4,NA
"149",51623085020004,39635087010690,NA,2005,"3",35,1,6,81379,"35_1_6_81379","2",4,17,1,NA,1,"746",44,9,9,1,54,1,NA,NA,2,NA
"150",51623086020004,39635087010690,NA,2005,"3",35,1,6,81379,"35_1_6_81379","2",4,18,1,NA,1,"746",44,8.4,8.4,1,43,1,NA,NA,3,NA
"151",51623089020004,39635087010690,NA,2005,"3",35,1,6,81379,"35_1_6_81379","2",4,23,1,NA,1,"202",10,11,11,1,39,1,NA,NA,3,NA
"152",51623090020004,39635087010690,NA,2005,"3",35,1,6,81379,"35_1_6_81379","2",4,24,1,NA,1,"202",10,5,5,1,29,1,NA,NA,3,NA
