"","SUCP","STATECD","SPCD","cycle_aw","STATUSCD","SizeClass","Treecount","ExpanFactor","TPA","DSTRBCD1","DSTRBYR1","Fire"
"256","4_2_1_81509","Arizona",122,"2",1,"A",0,74.96528,0,"1",2011,"1"
"257","4_2_1_81780","Arizona",122,"1",1,"A",2,74.96528,149.93056,NA,NA,"0"
"258","4_2_1_81780","Arizona",122,"2",1,"A",0,74.96528,0,NA,NA,"0"
"259","4_2_1_81874","Arizona",122,"1",1,"A",1,74.96528,74.96528,NA,NA,"0"
"260","4_2_1_81874","Arizona",122,"2",1,"A",0,74.96528,0,NA,NA,"0"
"261","4_2_1_82001","Arizona",122,"1",1,"A",2,74.96528,149.93056,NA,NA,"0"
"262","4_2_1_82001","Arizona",122,"2",1,"A",1,74.96528,74.96528,NA,NA,"0"
"263","4_2_1_82553","Arizona",122,"1",1,"A",0,74.96528,0,NA,NA,"0"
"264","4_2_1_82553","Arizona",122,"2",1,"A",13,74.96528,974.54864,NA,NA,"0"
"265","4_2_1_82678","Arizona",122,"1",1,"A",1,74.96528,74.96528,NA,NA,"1"
"266","4_2_1_82678","Arizona",122,"2",1,"A",0,74.96528,0,"1",2011,"1"
"267","4_2_1_83235","Arizona",122,"1",1,"A",4,74.96528,299.86112,NA,NA,"0"
"268","4_2_1_83235","Arizona",122,"2",1,"A",0,74.96528,0,NA,NA,"0"
"269","4_2_1_83690","Arizona",122,"1",1,"A",4,74.96528,299.86112,NA,NA,"0"
"270","4_2_1_83690","Arizona",122,"2",1,"A",4,74.96528,299.86112,NA,NA,"0"
"271","4_2_1_83865","Arizona",122,"1",1,"A",7,74.96528,524.75696,NA,NA,"1"
"272","4_2_1_83865","Arizona",122,"2",1,"A",0,74.96528,0,"1",2008,"1"
"273","4_2_1_83906","Arizona",122,"1",1,"A",0,74.96528,0,NA,NA,"0"
"274","4_2_1_83906","Arizona",122,"2",1,"A",2,74.96528,149.93056,NA,NA,"0"
"275","4_2_1_84339","Arizona",122,"1",1,"A",0,74.96528,0,NA,NA,"0"
